,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
54,510371082,0,3,0,0,0,71,0,0,0,0,0,0,5,8,0,0,102
55,510381004,4,7,0,0,5,271,16,0,0,3,0,5,6,35,0,0,350
56,510381006,0,14,0,0,0,230,17,0,0,0,0,0,3,36,0,0,311
57,510381010,16,8,0,0,0,266,16,0,4,3,0,0,8,33,0,0,339
58,510381011,5,10,0,0,0,126,20,0,0,0,0,0,4,22,0,0,186
59,510381020,63,23,0,0,4,278,22,0,0,7,0,0,33,48,0,0,486
60,510381026,39,20,0,0,4,249,28,0,0,13,5,0,33,52,0,0,435
61,510391012,10,14,0,0,0,93,9,0,0,0,0,10,0,27,0,0,169
62,510391017,0,9,0,0,0,62,0,0,0,0,0,3,5,8,0,0,85
63,510391370,0,0,0,0,0,28,0,0,0,0,0,0,0,10,0,0,38
64,510391373,0,15,0,0,5,305,25,0,0,4,0,25,125,85,3,0,590
65,510391383,0,0,0,0,3,164,4,0,0,9,0,15,0,26,0,0,226
66,510391384,5,18,0,0,6,167,9,0,0,0,7,14,96,35,0,0,361
67,510391389,3,6,0,0,0,76,7,0,0,0,0,8,68,25,0,0,199
68,510391394,4,10,0,0,3,174,12,0,0,0,0,19,38,16,4,0,274
69,510391397,7,3,0,0,0,120,4,0,0,0,0,0,0,37,0,0,172
70,510401002,0,5,0,0,0,130,11,0,0,0,0,0,0,11,0,0,161
71,510401003,0,14,0,0,0,76,14,0,0,0,0,0,4,14,0,0,121
72,510401008,3,11,0,0,4,108,14,0,0,0,0,0,0,18,0,0,156
73,510401009,0,10,0,0,0,107,6,0,4,0,0,0,5,21,0,0,155
74,510401013,0,8,0,0,0,170,8,0,3,3,0,0,0,19,0,0,219
75,510420001,27,14,0,0,5,563,29,0,7,8,7,0,39,78,4,0,778
76,510421040,26,3,0,0,0,177,16,0,4,0,0,0,6,22,0,0,255
77,510421042,8,5,0,0,0,201,6,0,0,3,0,0,9,20,0,0,262
78,510421043,4,4,0,0,0,179,9,0,0,0,0,0,4,16,0,0,225
79,510421046,40,9,0,0,7,614,34,6,4,8,9,0,58,67,0,0,845
80,510421059,3,7,0,0,0,53,9,0,0,0,0,0,0,10,0,0,85
81,510421060,4,9,0,0,5,364,16,0,0,6,4,0,8,44,0,0,462
82,510421072,15,9,0,0,0,440,19,0,0,4,0,0,11,109,5,0,607
83,510421074,9,5,0,0,0,244,15,0,0,0,0,0,9,30,3,0,311
84,510421110,3,3,0,0,6,140,12,0,0,0,0,0,7,16,0,0,183
85,510431007,3,4,0,0,4,227,17,0,0,0,0,0,11,24,0,0,300
86,510431016,5,7,0,0,0,238,21,0,0,6,3,7,18,25,6,0,323
87,510431018,0,7,0,0,0,133,14,0,0,0,0,6,4,31,0,0,193
88,510431025,4,0,0,0,0,151,0,0,0,0,0,0,5,25,0,0,194
89,510431028,46,20,0,0,5,401,36,0,5,7,4,0,29,43,0,0,592
90,510431034,3,6,0,0,6,354,24,0,6,0,0,0,8,92,0,0,496
91,510431381,0,4,0,0,0,86,11,0,0,0,4,9,10,16,0,0,137
92,510431390,0,0,0,0,0,74,6,0,0,3,0,4,19,13,0,0,119
93,512950001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
94,512950002,8,16,0,0,0,81,7,0,0,3,0,0,23,10,0,0,148
95,512950003,0,0,0,0,0,12,0,0,0,0,7,0,0,0,0,0,20
96,512950004,6,0,0,0,0,62,7,0,0,0,0,0,3,8,0,0,85
97,512950005,8,4,0,0,0,166,5,0,6,4,0,0,6,21,0,0,225
98,512950006,81,35,0,0,0,454,45,0,3,8,3,3,19,74,9,0,732
99,512950007,11,3,0,0,0,55,6,0,0,0,0,0,0,6,0,0,79
100,512950008,5,3,0,0,0,65,5,0,0,0,0,0,0,7,0,0,93
101,512950009,8,8,0,0,0,82,10,0,0,3,0,0,0,12,0,0,122
102,512950010,13,15,0,0,0,61,5,0,0,0,0,0,8,13,0,0,112
103,512950011,3,6,0,0,0,38,0,0,0,0,0,0,0,3,0,0,60
104,512950012,3,9,0,0,0,60,5,0,3,0,0,0,5,13,0,0,98
105,512950013,26,34,0,0,0,191,10,0,5,0,0,5,16,24,0,0,303
106,512950014,33,27,0,0,5,246,20,3,8,8,23,0,46,45,0,0,460
107,512960001,3,7,0,0,0,103,9,0,0,0,0,0,5,11,0,0,140
108,512960002,0,6,0,0,0,53,4,0,0,0,0,0,3,12,0,0,80
109,512960003,0,3,0,0,0,136,5,0,0,0,0,0,4,24,0,0,181
110,512960004,0,0,0,0,0,61,5,0,0,0,0,0,0,3,0,0,72
111,512960005,0,0,0,0,0,11,0,0,0,0,0,3,0,7,0,0,20
