,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
34,510331019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
37,510341163,5,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,22
38,510341165,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,29
39,510341168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,510351121,6,0,0,0,0,21,0,0,0,0,0,0,0,8,0,0,33
41,510351122,40,0,0,0,0,90,0,0,0,0,0,0,3,29,0,0,166
42,510351129,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5
43,510351130,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,20
44,510351133,5,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12
45,510351135,12,0,0,0,0,22,0,0,0,0,0,0,6,6,4,0,55
46,510351137,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
47,510351140,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
48,510351151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,510351154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,510361068,0,0,0,0,0,33,0,0,0,0,0,0,0,5,0,0,41
51,510361089,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12
52,510361113,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,13
53,510361127,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
54,510371082,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,10
55,510381004,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6
56,510381006,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
57,510381010,0,4,0,0,0,3,0,0,0,0,0,0,5,0,0,0,17
58,510381011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,510381020,12,0,0,0,0,19,0,0,0,0,0,0,11,5,0,0,48
60,510381026,18,0,0,0,0,7,0,0,0,0,0,0,8,0,0,0,34
61,510391012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
