,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
23,510301001,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
24,510301014,0,0,0,0,0,3,0,0,0,0,0,0,4,3,0,0,15
25,510311126,0,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,19
26,510311132,10,0,0,0,0,55,5,0,0,0,0,0,0,17,0,0,84
27,510311143,3,0,0,0,0,45,0,0,0,0,0,0,0,5,0,0,56
28,510311144,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
29,510311149,0,0,0,0,0,34,0,0,0,0,0,0,0,4,0,0,40
30,510321145,3,0,0,0,0,18,5,0,0,0,0,0,0,0,0,0,26
31,510321147,8,0,0,0,0,61,9,0,0,0,0,0,0,10,0,0,94
32,510321161,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
33,510331015,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12
34,510331019,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
35,510331049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,510341158,0,0,0,0,0,47,0,0,0,0,0,0,0,7,0,0,51
37,510341163,3,0,0,0,0,61,4,0,0,0,0,0,0,10,0,0,88
38,510341165,0,0,0,0,0,28,0,0,0,0,0,0,0,7,0,0,40
39,510341168,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,27
40,510351121,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,22
41,510351122,18,26,0,0,0,121,6,0,0,6,0,0,7,46,0,0,226
42,510351129,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,15
43,510351130,0,7,0,0,0,24,0,0,0,0,0,0,0,0,0,0,34
44,510351133,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,27
45,510351135,11,9,0,0,0,82,7,0,0,5,0,0,17,10,0,0,139
46,510351137,0,0,0,0,0,24,0,0,3,0,0,0,0,0,0,0,32
47,510351140,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,14
48,510351151,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3
49,510351154,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
50,510361068,0,0,0,0,0,36,0,0,0,0,0,0,5,6,0,0,44
51,510361089,0,0,0,0,0,39,0,0,0,0,0,0,4,9,0,0,51
52,510361113,0,0,0,0,0,17,0,0,0,0,0,0,0,3,0,0,24
53,510361127,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,21
54,510371082,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,26
55,510381004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
56,510381006,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,8
57,510381010,5,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,29
58,510381011,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,9
59,510381020,4,0,0,0,0,14,0,0,0,0,0,0,4,7,0,0,28
60,510381026,4,0,0,0,0,18,0,0,0,3,0,0,4,7,0,0,46
61,510391012,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
62,510391017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,510391373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,510391383,0,0,0,0,0,14,0,0,0,0,0,0,3,4,0,0,23
66,510391384,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,9
