,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
47,510351140,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,25
48,510351151,0,0,0,0,0,8,0,0,0,0,0,0,0,3,0,0,6
49,510351154,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8
50,510361068,0,0,0,0,0,37,0,0,0,0,0,0,0,6,0,0,45
51,510361089,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,12
52,510361113,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,18
53,510361127,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7
54,510371082,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,14
55,510381004,0,0,0,0,0,20,0,0,0,0,0,0,0,4,0,0,31
56,510381006,0,0,0,0,0,16,0,0,0,0,0,0,0,4,0,0,23
57,510381010,0,0,0,0,0,29,0,0,0,0,0,0,0,4,0,0,35
58,510381011,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10
59,510381020,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,34
60,510381026,30,0,0,0,0,44,0,0,0,7,0,0,0,4,0,0,93
61,510391012,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,11
62,510391017,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,13
63,510391370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
64,510391373,6,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,21
65,510391383,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,20
66,510391384,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,16
67,510391389,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,18
68,510391394,0,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,25
69,510391397,0,0,0,0,0,23,0,0,0,0,0,0,0,5,0,0,21
70,510401002,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,8
71,510401003,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,12
72,510401008,5,0,0,0,0,18,0,0,0,0,0,0,0,5,0,0,21
73,510401009,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,18
74,510401013,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,20
75,510411021,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
76,510411022,10,0,0,0,0,32,4,0,0,0,0,0,0,5,0,0,51
77,510411023,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,20
78,510411024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
79,510411027,3,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,39
