,DZN (POW),Train,Bus,Ferry,Tram/light rail,Taxi/ride-share service,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Other Mode,Walked only,Worked at home,Did not go to work,Not stated,Not applicable,Total
323,510941309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
324,510951339,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
325,510951352,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
326,510951369,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
327,510961358,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
328,510961366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,510961372,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
330,510961378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,510961380,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
332,510971337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,510971338,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,5
334,510971351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,510971365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,510971375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,510971379,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
338,513010001,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11
339,513010002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
340,513010003,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12
341,513010004,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
342,513020001,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9
343,513020002,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
344,510981681,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4
345,510981685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,510991615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
347,510991616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348,511001616,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
349,511001619,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
350,511011617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,511021687,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5
352,511021688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
353,511041678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,511051612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,511051618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
356,511051620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,511060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358,511071621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,511071623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,512550001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,512560001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,512570001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,512580001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
364,513030001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,513030002,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8
366,513040001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
367,513050001,0,0,0,0,0,34,5,0,0,0,0,0,0,0,0,0,39
368,513050002,0,0,0,0,0,27,0,0,0,0,0,0,0,3,0,0,29
369,513050003,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,16
370,513050004,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
371,513050005,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
372,513060001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,513060002,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
374,513060003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,513060004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,511101793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,511101796,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
378,511101797,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
379,511101798,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
380,511111765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,511121768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,511141770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
383,511141772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
384,511141783,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
385,511141787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386,511151788,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
387,511151792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388,511161756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,511161773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,511171786,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4
391,513070001,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
392,513080001,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
393,511181388,0,0,0,0,0,23,0,0,0,0,0,0,0,4,0,0,33
394,511181395,0,0,0,0,0,12,4,0,0,0,0,0,0,0,0,0,20
395,511181396,0,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,14
396,511181398,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,18
397,511181399,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4
398,511181400,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,18
399,511181401,0,0,0,0,0,59,3,0,0,0,0,0,3,7,0,0,75
400,511191124,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
401,511191138,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,16
402,511191142,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,13
403,511191148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,511201408,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,16
405,511201409,0,0,0,0,0,23,0,0,0,0,0,0,0,3,0,0,27
406,511201410,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,27
407,511210001,0,0,0,0,0,134,5,0,0,3,4,0,3,25,0,0,171
408,511231032,5,0,0,0,0,45,0,0,0,0,0,0,0,8,0,0,65
409,511231115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
410,511231119,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,21
411,511231123,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,19
412,511231125,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,0,10
413,513090001,0,0,0,0,0,14,0,0,0,0,0,0,0,3,0,0,22
414,513090002,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,7
415,513100001,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
416,513100002,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3
417,513110001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
418,513110002,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,19
419,513110003,0,0,0,0,0,17,3,0,0,0,0,0,3,0,0,0,26
420,511241156,0,0,0,0,0,19,0,0,0,0,0,0,0,4,0,0,18
421,511241157,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
422,511241160,3,0,0,0,0,28,0,0,0,0,0,0,5,4,0,0,34
423,511241417,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
424,511241419,4,3,0,0,3,7,4,0,0,0,0,0,0,5,0,0,21
425,511241421,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6
426,511241422,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6
427,511241423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,511241431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
429,511251469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
430,511251470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,511261458,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,23
432,511261463,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,30
433,511261464,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,7
434,511271420,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,9
435,511271425,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
436,511271427,0,0,0,0,0,27,0,0,0,0,0,0,0,8,0,0,40
437,511271428,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
438,511271433,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5
439,511281435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440,511281448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,511291436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,511291437,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
443,511291439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
444,511301141,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12
445,511301155,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,7
446,511301411,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,0,20
447,511301412,0,0,0,0,0,20,0,0,0,0,0,0,3,0,0,0,27
448,511301413,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,21
449,511301414,0,0,0,0,0,32,3,0,0,0,0,0,0,3,0,0,40
450,511301415,0,0,0,0,0,21,5,0,0,0,0,0,0,3,0,0,26
451,511301416,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,12
452,511301418,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
453,511311449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
454,511311450,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,8
455,511311456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,511311459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,511321739,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
458,511321741,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,8
459,511321742,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,9
460,511321744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,511331752,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,8
462,511331757,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
