,DZN (POW),Train,Bus,Ferry,Tram,Taxi,"Car, as driver","Car, as passenger",Truck,Motorbike/scooter,Bicycle,Walked only,Other Mode,Worked at home,Did not go to work,Not stated,Not applicable,Total
37,510341163,36,17,5,0,0,972,37,3,4,14,69,10,101,122,16,0,1405
38,510341165,29,5,0,0,4,515,18,0,0,4,26,0,89,59,5,0,752
39,510341168,6,0,0,0,0,151,4,0,0,4,5,3,47,21,4,0,247
40,510351121,51,58,0,0,4,1893,73,0,9,30,36,5,23,324,14,0,2529
41,510351122,378,350,0,0,15,4788,259,4,88,181,133,7,28,905,59,0,7186
42,510351129,43,44,0,0,0,532,36,4,0,14,83,17,75,81,13,0,946
43,510351130,50,35,0,0,3,791,36,0,3,25,28,4,48,92,10,0,1132
44,510351133,43,17,0,0,0,723,43,0,5,21,20,6,58,89,3,0,1034
45,510351135,263,319,0,5,7,2739,192,5,39,283,235,15,79,396,22,0,4595
46,510351137,33,44,0,0,4,763,41,0,14,16,46,8,108,103,8,0,1183
47,510351140,10,20,0,0,0,498,20,4,0,10,13,4,82,55,0,0,706
48,510351151,14,13,0,0,0,251,8,4,0,6,10,0,49,40,3,0,398
49,510351154,10,4,0,0,0,338,13,0,0,3,10,3,112,46,4,0,539
50,510361068,41,13,0,0,3,1494,83,0,15,38,24,5,92,244,24,0,2072
51,510361089,14,0,0,0,0,703,30,3,13,22,69,11,114,77,13,0,1080
52,510361113,15,0,0,0,0,351,12,0,3,7,10,0,11,36,3,0,455
53,510361127,44,3,0,0,0,506,26,0,5,13,44,9,72,50,5,0,783
54,510371082,31,22,0,0,3,290,19,0,3,9,9,0,0,41,0,0,433
55,510381004,27,20,0,0,7,766,49,0,0,8,53,3,71,105,17,0,1135
56,510381006,45,19,0,0,4,709,24,0,4,18,31,11,88,121,10,0,1084
57,510381010,78,7,0,0,0,847,34,0,8,20,26,4,33,106,8,0,1172
58,510381011,30,8,0,0,0,297,12,0,4,9,11,0,20,29,3,0,417
59,510381020,157,26,0,3,0,752,63,0,5,26,41,8,9,104,9,0,1202
60,510381026,354,31,0,0,7,958,54,0,21,71,45,4,5,143,15,0,1709
61,510391012,21,36,0,0,0,369,39,0,0,11,33,6,52,58,6,0,629
62,510391017,28,21,0,0,0,296,21,0,4,6,21,6,13,32,6,0,447
63,510391370,0,4,0,0,0,100,4,0,0,3,0,0,0,20,0,0,135
64,510391373,23,39,0,0,4,820,69,0,0,11,60,4,97,168,9,0,1306
